,Happiness,Log GDP per capita,Confidence in national government,Social support,Healthy life expectancy at birth,Generosity,GINI_index,Expenditure_on_education,homicide,economic_freedom_index,university_enrollment_rate,alcohol,unemployment_rate,total_food_consumption,suicide,total_visitors,log_child_mortality_rate,log_Expenditure_on_health,log_income,log_visitor_per_hectare
0,3.782937527,7.549240589,0.435440153,0.520636737,48.7383461,0.247900203,0.3,3.1,6.6,1.0,4.0,0.01,8.5,2100.0,5.7,0,4.60015764416,4.06044301055,6.23832462504,-2.30258509299
1,5.510124207,9.189268112,0.364893705,0.784501791,67.94297791,-0.169465303,0.305,3.5,5.5,65.1,58.6,5.14,13.89999962,3023.0,5.9,3156000,2.74084002393,5.48063892334,8.35349709875,4.74738547991
2,5.604595661,9.487703323,0.447820819719,0.839396894,64.00130463,-0.198894069,0.388312619333,4.3,1.3,51.0,32.2,0.66,11.0,3272.0,1.9,2634000,3.26193531433,5.81413053183,8.41891862215,0.187237921643
3,4.360249996,8.886378288,0.237090692,0.752592862,44.40031433,-0.138072923,0.4734,3.4,9.8,46.7,6.9,8.24,6.900000095,2384.0,13.8,528000,5.14865659199,5.1239639794,8.16194579947,-0.647183697215
4,6.468387127,9.8056,0.418255478,0.901776373,66.83800507,-0.16,0.479421429,5.1,6.6,48.0,79.0,8.35,7.199999809,3155.0,10.3,5587000,2.62466859216,6.58892647753,9.24869532585,0.761514599759
5,4.319711685,8.891233444,0.285362303,0.676446438,65.01451111,-0.19920297,0.325923077,3.1,2.2,68.8,43.9,3.89,17.29999924,2809.0,2.9,963000,2.79116510781,5.0106352941,8.19478163844,3.52415453527
6,7.195585728,10.65822315,0.420419186,0.944599032,72.16123962,0.257350981,0.3468,4.9,1.1,83.1,85.4,10.03,5.199999809,3265.0,10.6,6032000,1.4586150227,8.78630387828,10.85181944,-0.121962546531
7,7.400688648,10.69543934,0.376573861,0.945142388,70.94441223,0.108246133,0.302488889,5.5,1.0,70.3,72.3,12.26,4.300000191,3784.0,11.5,24151000,1.38629436112,8.56407677732,10.7788312821,5.67888544685
8,4.910771847,9.673333168,0.707989275,0.761873245,61.79683304,-0.164400503,0.21098,2.1,2.2,58.9,20.4,2.14,5.199999809,2952.0,1.7,1986000,3.57515068879,5.98896141689,8.57470709762,3.18331962833
9,5.027186871,10.60289288,0.447820819719,0.911349595,65.49225616,-0.066273443,0.388312619333,2.6,0.5,75.2,41.1,1.7,3.700000048,2893.9140625,8.1,8062000,1.98787434815,6.91473089272,9.77900084741,9.26019493519
10,4.724443913,7.9064641,0.705811918,0.581765294,60.73737335,-0.024726687,0.3259,2.0,2.6,53.2,13.4,0.01,4.5,2435.0,7.8,125000,3.78418963392,3.25809653802,6.81563999007,0.0585355772816
11,5.749043465,9.735478401,0.548332989,0.901961505,63.96964645,-0.226576045,0.282161538,5.1,3.6,49.0,90.4,16.35,5.900000095,3253.0,18.3,119000,1.66770682056,5.81711115996,8.71358200542,-0.376197260326
12,6.935122013,10.61212635,0.44011718,0.92711705,71.3420105,-0.060538139,0.289544444,6.4,1.8,69.0,71.2,10.08,7.5,3793.0,14.2,7560000,1.4586150227,8.43119947825,10.7210843863,5.52053948948
13,3.193468809,7.492073059,0.582080483,0.523027301,50.10337067,-0.079404496,0.4101,4.9,6.3,55.7,13.4,1.4,1.0,2594.0,5.7,220000,4.67282883446,3.58351893846,6.60934924317,0.718350136074
14,6.018894672,8.664417267,0.435292631,0.780819416,58.51885605,-0.008353052,0.541608333,6.4,12.4,50.2,40.95390625,3.89,2.700000048,2254.0,12.2,798000,3.76352299711,5.00394630595,7.59438124255,-0.178363739297
15,4.773144722,9.12287426,0.194952324,0.778859854,67.2230072,-0.00828603,0.321266667,4.43070866142,1.6,57.3,41.1,4.61,28.10000038,3130.0,10.8,439000,1.8718021769,6.10255859461,8.41538192527,2.16035526414
16,4.835938931,9.547103882,0.662237763,0.836743116,54.90007782,-0.211346135,0.62595,9.6,14.8,69.6,18.1,5.76,17.70000076,2285.0,3.8,1614000,3.90197266957,6.05912319558,8.80357441813,1.08109881857
17,6.660003662,9.612587929,0.458935678,0.890314102,63.86126328,-0.095055113,0.556266667,5.9,23.8,57.9,45.2,7.55,6.099999905,3248.0,5.8,5677000,2.77258872224,6.89264164117,9.32098689206,-0.249464292837
18,4.222297192,9.663409233,0.342922807,0.837966621,66.28061676,-0.177348077,0.332,3.5,1.9,64.7,62.7,10.99,12.30000019,2877.0,10.8,6541000,2.48490664979,6.25190388317,8.84893999503,4.10020063176
19,3.95500803,7.326239586,0.617090106,0.743765771,49.89596176,-0.053377308,0.41505,4.1,0.7,60.6,4.6,4.75,3.299999952,2707.0,4.8,237000,4.61907309116,3.58351893846,6.42324696353,-0.0343553753277
20,3.898706913,7.935647964,0.447820819719,0.605528593,57.04252243,0.250064552,0.346071429,1.6,2.2,57.6,15.9,2.12,0.200000003,2411.0,9.4,3584000,3.57794789341,4.07753744391,6.71538338633,3.01571372359
21,4.244634151,7.888424873,0.533314586,0.74283731,46.7892952,-0.021345476,0.4248,3.0,2.7,51.8,11.9,6.19,4.099999905,2586.0,7.0,817000,4.57882621065,3.97029191355,7.06304816339,0.603404284184
